App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5990214,HDR,02/12/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6003614,HDR,08/14/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006094,HDR,09/12/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6002332,HDR,07/30/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5990384,HDR,02/15/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6002109,HDR,07/27/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008388,HDR,10/05/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006624,HDR,09/17/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5996975,HDR,05/25/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6006926,HDR,09/20/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,10/14/2022 11:00:04 AM
6007165,HDR,09/22/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5990218,HDR,02/12/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/14/2022 11:00:04 AM
6006664,HDR,09/18/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6004507,HDR,08/24/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6000587,HDR,07/11/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5990070,HDR,02/09/2022,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,10/14/2022 11:00:04 AM
6008212,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6009199,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6001897,HDR,07/25/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6003116,HDR,08/08/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6009193,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5995753,HDR,05/10/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5988099,HDR,01/03/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6008469,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5996126,HDR,05/14/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5993447,HDR,04/05/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6009149,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6003924,HDR,08/17/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/14/2022 11:00:04 AM
6005238,HDR,09/01/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6004083,HDR,08/18/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5999640,HDR,06/28/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6005785,HDR,09/08/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5989057,HDR,01/20/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6005960,HDR,09/10/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5992095,HDR,03/16/2022,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5994588,HDR,04/22/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004878,HDR,08/28/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5990248,HDR,02/13/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004641,HDR,08/25/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5998825,HDR,06/16/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6008287,HDR,10/04/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/14/2022 11:00:04 AM
6005459,HDR,09/04/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008305,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6002637,HDR,08/03/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5997648,HDR,06/03/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
6003358,HDR,08/10/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
6007721,HDR,09/29/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5998816,HDR,06/16/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6008521,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006384,HDR,09/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6007230,HDR,09/23/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5997999,HDR,06/07/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6005574,HDR,09/06/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008088,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6007423,HDR,09/26/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6003904,HDR,08/17/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5999876,HDR,06/30/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6005972,HDR,09/10/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5993415,HDR,04/05/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6003641,HDR,08/14/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006584,HDR,09/16/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004835,HDR,08/26/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6006112,HDR,09/12/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6004332,HDR,08/22/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006008,HDR,09/11/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6005396,HDR,09/02/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006922,HDR,09/20/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6005867,HDR,09/09/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6005924,HDR,09/10/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
5997500,HDR,06/02/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5993424,HDR,04/05/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5995145,HDR,05/02/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6000339,HDR,07/07/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006479,HDR,09/15/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/14/2022 11:00:04 AM
6004928,HDR,08/29/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5997242,HDR,05/29/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008988,HDR,10/12/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
5996070,HDR,05/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006116,HDR,09/12/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6005057,HDR,08/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6007331,HDR,09/25/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6007700,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5995807,HDR,05/10/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004430,HDR,08/23/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008771,HDR,10/09/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5998087,HDR,06/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6007417,HDR,09/26/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6001072,HDR,07/15/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6007715,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6005682,HDR,09/07/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006669,HDR,09/18/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6004815,HDR,08/26/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6005857,HDR,09/09/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5996558,HDR,05/19/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/14/2022 11:00:04 AM
5993373,HDR,04/05/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5993998,HDR,04/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6006972,HDR,09/21/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
5997145,HDR,05/27/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
6008641,HDR,10/07/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006191,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6000483,HDR,07/08/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6004467,HDR,08/23/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6005524,HDR,09/05/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006368,HDR,09/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008428,HDR,10/05/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6001498,HDR,07/20/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006199,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5999176,HDR,06/22/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6000843,HDR,07/13/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6009192,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5992520,HDR,03/22/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6008450,HDR,10/05/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6005004,HDR,08/29/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5921783,HDR,02/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,10/14/2022 11:00:04 AM
5998876,HDR,06/17/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5991472,HDR,03/07/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6002045,HDR,07/26/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6004754,HDR,08/26/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6008353,HDR,10/05/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5992755,HDR,03/25/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6006382,PDR,09/15/2022,Under Review,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,10/14/2022 11:00:04 AM
6004743,HDR,08/26/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6000333,HDR,07/07/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
6008086,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6006963,HDR,09/21/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
5996061,HDR,05/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/14/2022 11:00:04 AM
5990950,HDR,02/25/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5998579,HDR,06/14/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6001407,HDR,07/20/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
6007936,HDR,09/30/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5996306,HDR,05/17/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004960,HDR,08/29/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5993246,HDR,04/02/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6004129,HDR,08/19/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6000888,HDR,07/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6006289,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
6005937,HDR,09/10/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,10/14/2022 11:00:04 AM
6007604,HDR,09/27/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
5988338,HDR,01/06/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Complete,Copy of DMV license needed,10/14/2022 11:00:04 AM
6005691,HDR,09/07/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
6004361,HDR,08/22/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008604,HDR,10/07/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/14/2022 11:00:04 AM
5993241,HDR,04/02/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6001792,HDR,07/24/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6002340,HDR,07/30/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/14/2022 11:00:04 AM
5992370,HDR,03/20/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/14/2022 11:00:04 AM
5999815,HDR,06/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,10/14/2022 11:00:04 AM
6002113,HDR,07/27/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,10/14/2022 11:00:04 AM
6008010,HDR,10/01/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006076,HDR,09/12/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/14/2022 11:00:04 AM
6003634,HDR,08/14/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6000174,HDR,07/05/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6004112,HDR,08/19/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5996011,HDR,05/12/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6008015,HDR,10/01/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6005542,HDR,09/05/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5997061,HDR,05/26/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5989522,HDR,01/30/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
6000191,HDR,07/05/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6005308,HDR,09/02/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/14/2022 11:00:04 AM
5996474,HDR,05/18/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
6007687,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/14/2022 11:00:04 AM
5998031,HDR,06/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5998537,HDR,06/14/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/14/2022 11:00:04 AM
6006574,HDR,09/16/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5992867,HDR,03/28/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
5995626,HDR,05/09/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/14/2022 11:00:04 AM
